"keys","en","de","fr"
"QUESTION3_B","Soviet winning strategy in C&C Red Alert 2: the U.S. president is replaced by an actor.","Sowjetische Gewinnstratege im C&C Red Alert 2: Der US-Präsident wird durch einen Schauspieler ersetzt.","Stratégie de victoire soviétique dans C&C Red Alert 2 : le président des États-Unis est remplacé par un acteur."
"QUESTION3_C","The primacy of peaceful coexistence. The liberal and communist social systems can exist side by side.","Das Primat der friedlichen Koexistenz. Die liberalen und kommunistischen Gesellschaftssysteme können nebeneinander existieren.","Le primat de la coexistence pacifique : les systèmes libéral et communiste peuvent coexister côte à côte."
"QUESTION3_E","This included aid for the Mujahideen against the Soviet occupation of Afghanistan as well as rebel groups in Nicaragua, Angola, and Cambodia.","Hierunter fiel Hilfe für die Mudschahedin gegen die sowjetische Besatzung in Afghanistan und auch Rebellengruppen in Nicaragua, Angola und Kambodscha.","Cela incluait l’aide aux Moudjahidines contre l’occupation soviétique en Afghanistan ainsi qu’à des groupes rebelles au Nicaragua, en Angola et au Cambodge."
"QUESTION4","Which game developed in the Soviet Union became one of the most-played games of all time?","Welches in der Sowjetunion entwickelte Spiel wurde zu einem der meistgespielten Spiele aller Zeiten?","Quel jeu développé en Union soviétique est devenu l’un des plus joués de tous les temps ?"
"QUESTION4_A","Red Dead Redemption","Red Dead Redemption","Red Dead Redemption"
"QUESTION4_B","The Witcher","The Witcher","The Witcher"
"QUESTION4_C","Tetris","Tetris","Tetris"
"QUESTION4_E","Russian programmer Alexey Pajitnov completed the first playable version in 1984 on a Soviet office PC called Elektronika 60.","Der russische Programmierer Alexei Paschitnow stellte die erste spielbare Version 1984 auf einem sowjetischen Büro-PC namens Elektronika 60 fertig.","Le programmeur russe Alexeï Pajitnov acheva la première version jouable en 1984 sur un ordinateur de bureau soviétique appelé Elektronika 60."
"QUESTION5","Which U.S. video game had the Cold War as its theme and was placed on (West) Germany’s Index of Youth-Endangering Publications from 1985 to 2010?","Welches US-amerikanische Spiel hatte den Kalten Krieg zum Thema und stand in (West-)Deutschland von 1985 bis 2010 auf dem Index der jugendgefährdenden Schriften.","Quel jeu vidéo américain avait pour thème la guerre froide et figura en (RFA) sur l’Index des écrits dangereux pour la jeunesse de 1985 à 2010 ?"
"QUESTION5_A","Raid over Moscow","Raid over Moscow","Raid over Moscow"
"QUESTION5_B","Crisis in the Kremlin","Crisis in the Kremlin","Crisis in the Kremlin"
"QUESTION5_C","Brezhnev Brawl","Brezhnev Brawl","Brezhnev Brawl"
"QUESTION5_E","In the 1984 game, you first have to fend off attacks by the Soviet Union on North America, then destroy a nuclear facility in the Moscow Kremlin. In 1985, the Federal Review Board accused the game of trivializing acts of war and claimed it also led young people to ""physical tension, anger, aggressiveness, mental restlessness, concentration difficulties, headaches, etc.""","Im Spiel von 1984 müssen zunächst Angriffe der Sowjetunion auf Nordamerika abgewehrt werden, um dann eine Atomanlage im Moskauer Kreml zu zerstören. 1985 unterstellte die Bundesprüfstelle dem Spiel Verharmlosung kriegerischer Handlungen, zudem führe es bei Jugendlichen auch zu ""physischer Verkrampfung, Ärger, Aggressivität, Fahrigkeit im Denken, Konzentrationsschwierigkeiten, Kopfschmerzen u.a.""","Dans ce jeu de 1984, il faut d’abord repousser des attaques de l’Union soviétique contre l’Amérique du Nord, puis détruire une installation nucléaire dans le Kremlin de Moscou. En 1985, l’office fédéral compétent accusa le jeu de banaliser les actions de guerre et affirma qu’il provoquait chez les jeunes « tension physique, colère, agressivité, nervosité, difficultés de concentration, maux de tête, etc. »"
"QUESTION6","In the 1990s, the genre of so-called first-person shooters (FPS) became popular, initially only on PCs. In 1997, a game was released that marked the breakthrough of FPS on consoles as well. Which one?","In den 90er-Jahren wurde das Genre der sog. First Person Shooter (FPS) populär, zunächst aber nur auf PCs. 1997 kam ein Spiel heraus, dass den Durchbruch der FPS auch auf Konsolen darstellte. Welches?","Dans les années 1990, le genre des « first person shooters » (FPS) s’est popularisé, d’abord uniquement sur PC. En 1997, un jeu a marqué la percée du FPS sur consoles. Lequel ?"
"QUESTION6_A","GoldenEye 007","GoldenEye 007","GoldenEye 007"
"QUESTION6_B","Doom","Doom","Doom"
"QUESTION6_C","Quake","Quake","Quake"
"QUESTION6_E","The game based on the James Bond film of the same name was released in 1997 for the Nintendo 64. It demonstrated the feasibility of good FPS games on consoles and ushered in the transition from Doom-like shooters to shooters with a more cinematic style.","Das Spiel zum gleichnamigen James-Bond-Film kam 1997 für das Nintendo 64 heraus. Es demonstrierte die Machbarkeit von guten FPS auch auf Konsolen und läutete den Übergang von Doom-ähnlichen Shootern zu Shootern mit eher filmischen Stil ein.","Le jeu tiré du film James Bond du même nom est sorti en 1997 sur Nintendo 64. Il a démontré la faisabilité de bons FPS sur consoles et a inauguré la transition des shooters à la Doom vers des shooters au style plus cinématographique."
