"keys","en","de","fr","es","del","fro","eo","den","fi"
"QUESTION2_A","Evenly degenerating. Morals are in constant decline.","Gleichmäßig verlotternd. Die Sitten befinden sich in stetem Verfall.","Se dégrader uniformément. Les mœurs sont en déclin constant.","A stew, similar to borscht.","Eintopf. Ähnlich dem Borschtsch.","Un ragoût, similaire au bortsch.","The transformation of the Cominform (Communist Information Bureau) into ""Informations-GmbH"" after the end of the Cold War.","Die Umwandlung der Kominform (Kommunistisches Informationsbüro) in die Informations-GmbH nach Ende des kalten Krieges.","La transformation du Kominform (Bureau d’information des partis communistes) en ""Informations-GmbH"" après la fin de la guerre froide."
"QUESTION2_B","An outdated term for professional pimps, once used in legal jargon.","Veraltet für hauptberufliche  Zuhälter. Gebräuchlich im juristischen Wortschatz.","Terme désuet désignant des proxénètes professionnels, autrefois utilisé dans le jargon juridique.","A Polish football club from Poznań.","Ein polnischer Fußballverein aus Posen.","Un club de football polonais de Poznań.","The founding of the state group ""Ideology Nationality Freedom"" as a counter-movement to the G7 states.","Die Gründung der Staatengruppe ""Ideology Nationality Freedom"" als Gegenbewegung zu den G7 Staaten.","La création du groupe d’États « Ideology Nationality Freedom » comme contre-mouvement aux pays du G7."
"QUESTION2_C","The playing human. Humans develop their cultural abilities primarily through play. ","Der Spielende Mensch. Menschen entwickeln ihre kulturellen Fähigkeiten primär durch das Spiel.","L’être humain joueur. Les humains développent leurs capacités culturelles principalement par le jeu.","A Polish trade unionist and regime critic.","Ein polnischer Gewerkschafter und Regimekritiker.","Un syndicaliste polonais et opposant au régime.","An agreement between the USA and the Soviet Union on the elimination of nuclear missiles of intermediate and shorter range.","Abkommen zwischen den USA und der Sowjetunion über die Vernichtung von Nuklearraketen mit mittlerer und kürzerer Reichweite.","Un accord entre les États-Unis et l’Union soviétique sur l’élimination des missiles nucléaires de portée intermédiaire et plus courte."
"QUESTION2_E","The cultural historian Johan Huizinga coined the term. It contrasts with Homo Faber, which typifies humans as “working, craft-making”.","Der Kulturhistoriker Johan Huizinga prägt den Begriff. Er steht im Gegensatz zum Begriff des „Homo Faber“, der den Menschen als „arbeitend, handwerklich tätig“ typisiert.","L’historien de la culture Johan Huizinga a forgé ce terme. Il s’oppose à celui de « Homo Faber », qui typifie l’être humain comme « travaillant, façonnant ».","Wałęsa was chairman of the independent trade union Solidarność and forced its legalization in 1989. This contributed significantly to the downfall of the socialist regime.","Walesa war Vorsitzende der  unabhängigen Gewerkschaft Solidarnosc und erzwang 1989 ihre Legalisierung. Dies trug maßgeblich zum Sturz des sozialistischen Regimes bei.","Wałęsa fut président du syndicat indépendant Solidarność et imposa sa légalisation en 1989. Cela contribua de manière déterminante à la chute du régime socialiste.","The Intermediate-Range Nuclear Forces Treaty was concluded in 1987 and terminated by the USA and Russia in 2019 after mutual accusations of violations.","Der Intermediate Range Nuclear Forces Treaty/ Mittelstrecken-Nuklearstreitkräfte-Vertrag wurde 1987 geschlossen und 2019 von den USA und Russland aufgekündigt, nachdem man sich gegenseitige Vertragsverletzungen vorgeworfen hatte.","Le Intermediate-Range Nuclear Forces Treaty a été conclu en 1987 et dénoncé en 2019 par les États-Unis et la Russie après des accusations réciproques de violations."
"QUESTION3","What does the title “We’re Building Ourselves a Nuclear Power Plant” refer to?","Worauf bezieht sich der Titel Wir bauen uns ein Atomkraftwerk?","À quoi fait référence le titre « Nous construisons une centrale nucléaire » ?","What is meant by the Reagan Doctrine?","Was versteht man unter der Reagan Doktrin?","Que comprend-on par la « doctrine Reagan » ?","What is the Thucydides Trap?","Was ist die Thukydides-Falle?","Qu’est-ce que le « piège de Thucydide » ?"
"QUESTION3_A","To a board game from Loriot’s Christmas with the Hoppenstedts.","Auf ein Brettspiel aus Loriots Weihnachten bei den Hoppenstedts.","À un jeu de société tiré du sketch de Loriot « Noël chez les Hoppenstedt ».","The support of anti-communist guerrilla organizations against the governments of pro-Soviet states.","Die Unterstützung antikommunistischer Guerilla-Organisationen gegen die Regierungen prosowjetischer Staaten.","Le soutien aux organisations de guérilla anticommunistes contre les gouvernements pro-soviétiques.","The theory that the likelihood of war increases when a rising power threatens to displace an established great power.","Die Theorie, dass die Wahrscheinlichkeit für einen Krieg steigt, wenn eine aufstrebende Macht eine bestehende Großmacht zu verdrängen droht.","La théorie selon laquelle la probabilité d’une guerre augmente lorsqu’une puissance montante menace d’évincer une grande puissance établie."
"QUESTION3_B","To the slogan of the first Five-Year Plan of the GDR.","Auf die Losung des ersten Fünfjahrplans der DDR.","Au slogan du premier plan quinquennal de la RDA.","Soviet winning strategy in C&C Red Alert 2: the U.S. president is replaced by an actor.","Sowjetische Gewinnstratege im C&C Red Alert 2: Der US-Präsident wird durch einen Schauspieler ersetzt.","Stratégie de victoire soviétique dans C&C Red Alert 2 : le président des États-Unis est remplacé par un acteur.","A classic chess opening named after the Greek world chess champion Thucydides Anastopoulos.","Eine klassische Schach-Eröffnung, die auf den griechischen Schachweltmeister Thukydides Anastopoulos zurückgeht.","Une ouverture classique aux échecs, due au champion du monde grec Thucydide Anastopoulos."
"QUESTION3_C","To the scandal-ridden opera by Hans Werner Henze.","Auf die skandalumwitterte Oper von Hans Werner Henze.","À l’opéra scandaleux de Hans Werner Henze.","The primacy of peaceful coexistence. The liberal and communist social systems can exist side by side.","Das Primat der friedlichen Koexistenz. Die liberalen und kommunistischen Gesellschaftssysteme können nebeneinander existieren.","Le primat de la coexistence pacifique : les systèmes libéral et communiste peuvent coexister côte à côte.","A method used by the Greek intelligence service to blackmail people with compromising material.","Eine Methode des griechischen Geheimdienstes, mithilfe von kompromittierendem Material Personen zu erpressen.","Une méthode des services secrets grecs consistant à faire chanter des personnes à l’aide de matériel compromettant."
"QUESTION3_E","In the 1978 Christmas classic, the child Dicki receives a “nuclear kit” as a present. The play-reactor accident blasts a hole through the family’s floor.","Im Weihnachtsklassiker von 1978 bekommt das Kind Dicki ein Atom-Spiel geschenkt. Der spielerische Reaktorunfall reißt ein Loch in den Fußboden des Familie.","Dans ce classique de 1978, l’enfant Dicki reçoit un kit nucléaire comme cadeau. L’accident de réacteur ludique perce un trou dans le plancher familial.","This included aid for the Mujahideen against the Soviet occupation of Afghanistan as well as rebel groups in Nicaragua, Angola, and Cambodia.","Hierunter fiel Hilfe für die Mudschahedin gegen die sowjetische Besatzung in Afghanistan und auch Rebellengruppen in Nicaragua, Angola und Kambodscha.","Cela incluait l’aide aux Moudjahidines contre l’occupation soviétique en Afghanistan ainsi qu’à des groupes rebelles au Nicaragua, en Angola et au Cambodge.","The term, coined by American political scientist Graham T. Allison, goes back to a quote from Thucydides that war between Athens and Sparta was inevitable because Sparta feared the growing power of Athens.","Der Begriff des amerikanischen Politikwissenschaftlers Graham T. Allison geht auf ein Zitat Thukydides zurück, wonach Krieg zwischen Athen und Sparta aufgrund der Furcht Spartas vor der wachsenden Macht Athens unvermeidlich gewesen sei.","Le terme, popularisé par le politologue américain Graham T. Allison, remonte à une citation de Thucydide selon laquelle la guerre entre Athènes et Sparte était inévitable en raison de la peur de Sparte face à la puissance croissante d’Athènes."
"QUESTION4","Which video game and its creator did the American music magazine Rolling Stone report on in 1972?","Über welches Videospiel und dessen Entwickler berichtete das amerikanische Musikmagazin Rolling Stone 1972?","Sur quel jeu vidéo et son créateur le magazine musical américain Rolling Stone a-t-il fait un reportage en 1972 ?","Which game developed in the Soviet Union became one of the most-played games of all time?","Welches in der Sowjetunion entwickelte Spiel wurde zu einem der meistgespielten Spiele aller Zeiten?","Quel jeu développé en Union soviétique est devenu l’un des plus joués de tous les temps ?","Which of the following is NOT a tool of hybrid warfare?","Was ist kein Mittel der hybriden Kriegsführung?","Lequel des éléments suivants n’est PAS un moyen de la guerre hybride ?"
"QUESTION4_A","Pacman","Pacman","Pacman","Red Dead Redemption","Red Dead Redemption","Red Dead Redemption","Orchestrated meme posts from so-called troll factories that systematically undermine the opponent’s credibility.","Orchestrierte Meme-Posts aus sogenannten Troll-Fabriken, die planmäßig die Glaubwürdigkeit des Gegners unterminieren.","Des posts de mèmes orchestrés depuis des “usines à trolls” visant à saper systématiquement la crédibilité de l’adversaire."
"QUESTION4_B","Pong","Pong","Pong","The Witcher","The Witcher","The Witcher","Military operations by so-called ""little green men"" who are not marked as combatants.","Militärische Operationen durch sogenannte ""Grüne Männchen"",die nicht als Kombattanten gekennzeichnet sind.","Des opérations militaires menées par de soi-disant « petits hommes verts » non identifiés comme combattants."
"QUESTION4_C","Spacewar!","Spacewar!","Spacewar!","Tetris","Tetris","Tetris","A UN Security Council resolution authorizing the use of military force.","Eine Resolution des UN-Sicherheitsrates zur Anwendung militärischer Gewalt.","Une résolution du Conseil de sécurité de l’ONU autorisant l’usage de la force militaire."
"QUESTION4_E","The reporter takes readers into the late-night Stanford AI Lab, where gamers play Spacewar! while enjoying free beer. The magazine portrays the “computer-bums” scene as a harbinger of an exciting near future and anticipates phenomena such as e-sports and hacker culture.","Der Reporter führt die Leser:innen in das nächtliche Stanford-AI-Labor, wo Gamer:innen Spacewar spielen und dabei kostenloses Bier genießen. Das Magazin porträtiert die „Computer-Nerds“-Szene als Vorboten einer nahen, aufregenden Zukunft, und nimmt Phänomene wie E-Sport und Hacker-Szene vorweg.","Le journaliste entraîne ses lecteurs dans le laboratoire d’IA de Stanford en pleine nuit, où l’on joue à Spacewar! tout en buvant de la bière gratuite. Le magazine décrit la scène des « computer bums » comme l’annonciatrice d’un avenir proche et passionnant, anticipant des phénomènes tels que l’e-sport et la culture hacker.","Russian programmer Alexey Pajitnov completed the first playable version in 1984 on a Soviet office PC called Elektronika 60.","Der russische Programmierer Alexei Paschitnow stellte die erste spielbare Version 1984 auf einem sowjetischen Büro-PC namens Elektronika 60 fertig.","Le programmeur russe Alexeï Pajitnov acheva la première version jouable en 1984 sur un ordinateur de bureau soviétique appelé Elektronika 60.","The Security Council has 15 member states. China, France, Russia, the United Kingdom, and the United States have veto power.","Der Sicherheitsrat besteht aus 15 Mitgliedsstaaten. China, Frankreich, Russland, Großbritannien und die USA besitzen Vetorecht.","Le Conseil compte 15 membres. La Chine, la France, la Russie, le Royaume-Uni et les États-Unis disposent d’un droit de veto."
"QUESTION5","Which video game about the inner-German border provoked heavy criticism in 2010?","Welches Videospiel über die deutsch-deutsche Grenze zog im Jahr 2010 heftige Kritik auf sich?","Quel jeu vidéo traitant de la frontière inter-allemande a suscité de vives critiques en 2010 ?","Which U.S. video game had the Cold War as its theme and was placed on (West) Germany’s Index of Youth-Endangering Publications from 1985 to 2010?","Welches US-amerikanische Spiel hatte den Kalten Krieg zum Thema und stand in (West-)Deutschland von 1985 bis 2010 auf dem Index der jugendgefährdenden Schriften.","Quel jeu vidéo américain avait pour thème la guerre froide et figura en (RFA) sur l’Index des écrits dangereux pour la jeunesse de 1985 à 2010 ?","Which novel and film inspired the Ukrainian video game S.T.A.L.K.E.R.: Shadow of Chernobyl?","Von welchem Roman und Film wurde ukrainische Videospiel S.T.A.L.K.E.R.: Shadow of Chernobyl inspiriert?","De quel roman et de quel film le jeu vidéo ukrainien S.T.A.L.K.E.R.: Shadow of Chernobyl s’inspire-t-il ?"
"QUESTION5_A","1378 (km)","1378 (km)","1378 (km)","Raid over Moscow","Raid over Moscow","Raid over Moscow","Novel: Roadside Picnic by Arkady & Boris Strugatsky. Film: Stalker by Andrei Tarkovsky.","Roman: Picknick am Wegesrand von Arkadi & Boris Strugazki. Film: Stalker von Andrei Tarkowski.","Roman : Pique-nique au bord du chemin d’Arkadi et Boris Strougatski. Film : Stalker d’Andreï Tarkovski."
"QUESTION5_B","Die Mauer","Die Mauer","Die Mauer","Crisis in the Kremlin","Crisis in the Kremlin","Crisis in the Kremlin","Novel: Metro 2033 by Dmitry Glukhovsky. Film: Stalker by Sergei Bondarchuk.","Roman: Metro 2033 von Dmitri Gluchowski. Film: Stalker von Sergei Bondartschuk.","Roman : Metro 2033 de Dmitri Gloukhovski. Film : Stalker de Sergueï Bondartchouk."
"QUESTION5_C","BRDDR","BRDDR","BRDDR","Brezhnev Brawl","Brezhnev Brawl","Brezhnev Brawl","Novel: Stalker by Svetlana Alexievich. Film: Shadow of Chernobyl by Fyodor Bondarchuk.","Roman: Wir von Jewgeni Samjatin. Film: Wir von Vojtěch Jasný.","Roman : Stalker de Svetlana Alexievitch. Film : L’Ombre de Tchernobyl de Fiodor Bondartchouk."
"QUESTION5_E","Created in 2010 as an art project, this first-person shooter reconstructs the 1,378-kilometre inner-German border. Players can assume the role of GDR border guards or would-be defectors. The game sparked massive criticism, tabloid headlines, and criminal complaints.","Das Ego-Shooter Spiel entstand 2010 als Kunst-Arbeit. Es stellt die 1378 Kilometer lange innerdeutsche Grenze nach. Die Spielenden können die Rolle von DDR-Grenzsoldaten als auch von Republikflüchtlingen einnehmen. Das Spiel löste massive Kritik, Schlagzeilen in Boulevardmedien und Strafanzeigen aus.","Conçu en 2010 comme projet artistique, ce jeu de tir à la première personne reconstitue les 1 378 kilomètres de la frontière inter-allemande. Les joueurs peuvent incarner des gardes-frontières de la RDA ou des candidats à la fuite. Le jeu a déclenché de vives polémiques, la une des tabloïds et des plaintes pénales.","In the 1984 game, you first have to fend off attacks by the Soviet Union on North America, then destroy a nuclear facility in the Moscow Kremlin. In 1985, the Federal Review Board accused the game of trivializing acts of war and claimed it also led young people to ""physical tension, anger, aggressiveness, mental restlessness, concentration difficulties, headaches, etc.""","Im Spiel von 1984 müssen zunächst Angriffe der Sowjetunion auf Nordamerika abgewehrt werden, um dann eine Atomanlage im Moskauer Kreml zu zerstören. 1985 unterstellte die Bundesprüfstelle dem Spiel Verharmlosung kriegerischer Handlungen, zudem führe es bei Jugendlichen auch zu ""physischer Verkrampfung, Ärger, Aggressivität, Fahrigkeit im Denken, Konzentrationsschwierigkeiten, Kopfschmerzen u.a.""","Dans ce jeu de 1984, il faut d’abord repousser des attaques de l’Union soviétique contre l’Amérique du Nord, puis détruire une installation nucléaire dans le Kremlin de Moscou. En 1985, l’office fédéral compétent accusa le jeu de banaliser les actions de guerre et affirma qu’il provoquait chez les jeunes « tension physique, colère, agressivité, nervosité, difficultés de concentration, maux de tête, etc. »","The Strugatsky brothers’ 1971 novel describes a mysterious Zone created by extraterrestrial intervention. In this Zone, our physical models only apply to a limited extent. Tarkovsky’s 1979 film adaptation is only loosely based on the book and focuses on the characters’ inner lives and their relationship to nature. The video game, in turn, relocates this Zone to the area of the destroyed Reactor 4 of the Chernobyl NPP.","Der Roman der Brüder Strugazki aus dem Jahr 1971 beschreibt eine seltsame Zone, die durch Einwirkung Außerirdischer entstanden ist. In dieser Zone gelten unsere physikalischen Modelle nur noch bedingt. Tarkowskis Verfilmung von 1979 basiert nur lose auf dem Buch und konzentriert sich auf das Innenleben seiner Figuren und deren Verhältnis zur Natur. Das Videospiel wiederum verlegt diese Zone in das Gebiet des zerstörten Block 4 des AKW Tschernobyl.","Dans ce jeu de 1984, il faut d’abord repousser des attaques de l’Union soviétique contre l’Amérique du Nord, puis détruire une installation nucléaire dans le Kremlin de Moscou. En 1985, l’office fédéral compétent accusa le jeu de banaliser les actions de guerre et affirma qu’il provoquait chez les jeunes « tension physique, colère, agressivité, nervosité, difficultés de concentration, maux de tête, etc. »"
"QUESTION6","In the 2006 video game DEFCON, players simulate global thermonuclear war and the side with the fewest casualties “wins.” What does the abbreviation DEFCON stand for?","Im Videospiel DEFCON aus dem Jahr 2006 wird ein globaler thermonuklearer Krieg simuliert. Die Seite mit den wenigsten Toten „gewinnt”. Wofür steht die Abkürzung DEFCON?","Dans le jeu vidéo DEFCON de 2006, une guerre thermonucléaire mondiale est simulée ; le camp qui compte le moins de morts « gagne ». Que signifie l’abréviation DEFCON ?","In the 1990s, the genre of so-called first-person shooters (FPS) became popular, initially only on PCs. In 1997, a game was released that marked the breakthrough of FPS on consoles as well. Which one?","In den 90er-Jahren wurde das Genre der sog. First Person Shooter (FPS) populär, zunächst aber nur auf PCs. 1997 kam ein Spiel heraus, dass den Durchbruch der FPS auch auf Konsolen darstellte. Welches?","Dans les années 1990, le genre des « first person shooters » (FPS) s’est popularisé, d’abord uniquement sur PC. En 1997, un jeu a marqué la percée du FPS sur consoles. Lequel ?","Which of these current TV series is NOT based on a video game franchise?","Welche dieser aktuellen Fernsehserien basiert NICHT auf einer Videospielreihe?","Laquelle de ces séries télévisées récentes n’est PAS basée sur une franchise de jeux vidéo ?"
"QUESTION6_A","Defense Readiness Condition","Defense Readiness Condition","Defense Readiness Condition","GoldenEye 007","GoldenEye 007","GoldenEye 007","Shogun","Shogun","Shogun"
"QUESTION6_B","Definition of Conflict","Definition of Conflict","Definition of Conflict","Doom","Doom","Doom","Fallout","Fallout","Fallout"
"QUESTION6_C","Defeat Condition","Defeat Condition","Defeat Condition","Quake","Quake","Quake","The Last of Us","The Last of Us","The Last of Us"
"QUESTION6_E","It describes the alert level of the U.S. armed forces. During the Cuban Missile Crisis, DEFCON 2—“prelude to nuclear war,” the highest level ever reached—was declared.","Verteidigungsbereitschaftszustand. Er beschreibt den Alarmzustand der Streitkräfte der USA. Während der Kuba-Krise wurde DEFCON 2 „Vorstufe zum Nuklearkrieg“, die bis heute höchste Alarmstufe, ausgerufen.","Niveau d’état de préparation des forces armées des États-Unis. Pendant la crise de Cuba, le DEFCON 2 — « prélude à la guerre nucléaire », le niveau le plus élevé jamais atteint — fut déclaré.","The game based on the James Bond film of the same name was released in 1997 for the Nintendo 64. It demonstrated the feasibility of good FPS games on consoles and ushered in the transition from Doom-like shooters to shooters with a more cinematic style.","Das Spiel zum gleichnamigen James-Bond-Film kam 1997 für das Nintendo 64 heraus. Es demonstrierte die Machbarkeit von guten FPS auch auf Konsolen und läutete den Übergang von Doom-ähnlichen Shootern zu Shootern mit eher filmischen Stil ein.","Le jeu tiré du film James Bond du même nom est sorti en 1997 sur Nintendo 64. Il a démontré la faisabilité de bons FPS sur consoles et a inauguré la transition des shooters à la Doom vers des shooters au style plus cinématographique.","The series Shōgun premiered in 2024 and is based on the novel of the same name by James Clavell.","Die Serie Shogun startete 2024 und basiert auf dem gleichnamigen Roman von James Clavell.","La série Shōgun a débuté en 2024 et est basée sur le roman éponyme de James Clavell."
"QUESTION7","","","","","","","Which major video game series originally comes from Germany?","Welche große Videospielserie stammt ursprünglich aus Deutschland?","Quelle grande série de jeux vidéo est à l’origine allemande ?"
"QUESTION7_A","","","","","","","Far Cry","Far Cry","Far Cry"
"QUESTION7_B","","","","","","","Call of Duty","Call of Duty","Call of Duty"
"QUESTION7_C","","","","","","","BioShock","BioShock","BioShock"
"QUESTION7_E","","","","","","","Far Cry was released in 2004 and developed by Crytek, a studio from Frankfurt/Main.","Far Cry wurde 2004 veröffentlicht und von Crytek entwickelt, einem Studio aus Frankfurt/Main.","Sorti en 2004 et développé par Crytek, un studio de Francfort-sur-le-Main."
"QUESTION8","","","","","","","In which video game do players have to walk through our real world to catch fictional creatures?","In welchem Videospiel müssen Spielerinnen und Spieler durch unsere reale Welt gehen, um dort fiktive Kreaturen zu fangen?","Dans quel jeu vidéo les joueurs doivent-ils se déplacer dans le monde réel pour y capturer des créatures fictives ?"
"QUESTION8_A","","","","","","","Pokémon Go","Pokémon Go","Pokémon Go"
"QUESTION8_B","","","","","","","Tamagotchi Town","Tamagotchi Town","Tamagotchi Town"
"QUESTION8_C","","","","","","","Palworld","Palworld","Palworld"
"QUESTION8_E","","","","","","","The 2016 smartphone game was downloaded over a billion times. In some places it led to large crowds and even the closure of entire streets.","Das 2016 veröffentliche Spiel für Smartphones wurde über eine Milliarde mal heruntergeladen. Stellenweise hat es zu Ansammlungen großer Menschenmassen und sogar zu Schließungen ganzer Straßenzüge geführt.","Le jeu pour smartphones, sorti en 2016, a été téléchargé plus d’un milliard de fois. Il a parfois provoqué d’importants attroupements et même la fermeture de rues entières."
